                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.84395,                 1.0664,                 1.0755,                0.08917,                0.64283,                0.15143,                0.08114,                 1.7515,                 4.2536,                 1.6154,              0.0011224,              0.0011224,              0.0011224
                     35,                0.89768,                0.67231,                 1.1552,                0.18307,                 0.3544,                0.19148,                0.10678,                 1.7437,                 3.3974,                 1.5826,              0.0011059,              0.0011059,              0.0011059
                     36,                0.91699,                0.75188,                  1.115,                0.61142,                0.39915,                0.34572,                0.17284,                 1.7753,                  2.918,                  1.633,              0.0010894,              0.0010894,              0.0010894
                     37,                0.89408,                0.67295,                 1.0874,                0.39904,                    0.4,                0.31592,                0.14198,                 1.8603,                 2.5977,                 1.6625,              0.0010729,              0.0010729,              0.0010729
                     38,                 1.0559,                0.78032,                  1.196,                0.42279,                 0.3374,                0.31345,                0.14948,                 1.6992,                 2.3695,                 1.5196,              0.0010564,              0.0010564,              0.0010564
                     39,                 1.1251,                0.88886,                 1.4238,                0.15634,                 0.3875,                0.12564,                0.06279,                 1.7774,                 3.0201,                 1.5631,              0.0010399,              0.0010399,              0.0010399
                     40,                0.89314,                0.66604,                 1.0717,                0.06289,                0.13125,                0.06094,                0.02741,                 1.8547,                 3.7727,                  1.528,              0.0010234,              0.0010234,              0.0010234
                     41,                0.97401,                0.80635,                 1.0159,                0.21687,                 0.1625,                 0.1396,                0.06392,                 1.8486,                 3.2688,                 1.5112,              0.0010069,              0.0010069,              0.0010069
                     42,                0.94325,                0.85689,                 1.0809,                0.15308,                0.34375,                0.14861,                0.06399,                 1.8221,                  3.524,                 1.5233,             0.00099036,             0.00099036,             0.00099036
                     43,                 1.0446,                0.71293,                 1.1849,                 0.1264,                 0.3125,                 0.1622,                0.06647,                 1.8975,                 3.5101,                 1.5778,             0.00097386,             0.00097386,             0.00097386
                     44,                0.90788,                 0.9584,                 1.1026,                0.12251,                  0.325,                0.12118,                0.04895,                 2.0384,                 3.9463,                 1.6784,             0.00095736,             0.00095736,             0.00095736
                     45,                 1.1791,                 1.2131,                 1.3118,                0.13414,                   0.25,                0.12183,                0.05209,                 1.9495,                 3.8676,                 1.5961,             0.00094085,             0.00094085,             0.00094085
                     46,                0.82653,                0.58277,                0.99916,                0.13451,                0.25625,                0.11343,                0.05054,                 1.8504,                 3.9724,                 1.5323,             0.00092435,             0.00092435,             0.00092435
                     47,                0.91573,                0.64249,                  1.029,                0.11876,                0.33125,                0.10876,                0.04815,                 1.7907,                 3.8665,                 1.4608,             0.00090785,             0.00090785,             0.00090785
                     48,                 1.2927,                 1.1585,                 1.4877,                0.10452,                0.21875,                0.12086,                0.05764,                 1.8682,                 3.7785,                 1.4894,             0.00089134,             0.00089134,             0.00089134
                     49,                 1.0703,                0.94112,                 1.3219,                0.12727,                0.19501,                0.14591,                0.06911,                 1.8811,                 3.4941,                 1.5207,             0.00087484,             0.00087484,             0.00087484
                     50,                0.94613,                0.61389,                0.98314,                0.15502,                 0.2125,                0.14195,                0.06071,                 1.8819,                 3.7211,                 1.5253,             0.00085834,             0.00085834,             0.00085834
                     51,                0.91975,                0.77677,                 1.1133,                0.14907,                0.21741,                0.14177,                0.06084,                 1.8723,                 3.8424,                 1.5277,             0.00084184,             0.00084184,             0.00084184
                     52,                 0.7968,                0.55617,                0.97508,                0.15955,                0.21375,                0.11782,                0.05268,                 1.8149,                 3.8464,                 1.4651,             0.00082533,             0.00082533,             0.00082533
                     53,                0.87028,                0.61915,                 1.0229,                0.15097,                0.18728,                0.12528,                0.05476,                 1.8286,                 3.7036,                   1.49,             0.00080883,             0.00080883,             0.00080883
                     54,                0.72341,                0.53046,                 1.0554,                0.16498,                 0.2125,                0.13904,                0.06013,                  1.812,                 3.7061,                 1.4907,             0.00079233,             0.00079233,             0.00079233
                     55,                0.79672,                0.53419,                0.96026,                0.17469,                0.27344,                0.12396,                 0.0542,                 1.7743,                 3.8715,                 1.4635,             0.00077582,             0.00077582,             0.00077582
                     56,                0.78967,                0.60475,                 1.0584,                0.22141,                0.27519,                0.11744,                0.05402,                 1.7285,                  3.856,                 1.4471,             0.00075932,             0.00075932,             0.00075932
                     57,                0.77748,                0.54614,                 1.0499,                0.18434,                0.25625,                0.11773,                0.05956,                 1.7019,                 3.8491,                 1.4694,             0.00074282,             0.00074282,             0.00074282
                     58,                0.90329,                0.54064,                 1.0623,                 0.1691,                0.24125,                0.11258,                0.05611,                 1.7653,                 3.9284,                 1.5689,             0.00072631,             0.00072631,             0.00072631
                     59,                 0.7034,                0.49686,                0.99282,                0.15686,                 0.2625,                0.10413,                0.04849,                  1.781,                 4.2128,                 1.6143,             0.00070981,             0.00070981,             0.00070981
                     60,                0.78962,                0.50493,                 1.0623,                0.16152,                0.25625,                0.11107,                0.05324,                 1.7822,                 4.0647,                 1.5508,             0.00069331,             0.00069331,             0.00069331
                     61,                0.88997,                0.95781,                 1.2122,                0.20924,                  0.325,                0.14823,                0.06716,                 1.7403,                 3.8421,                 1.4954,              0.0006768,              0.0006768,              0.0006768
                     62,                0.75312,                0.51892,                0.94875,                0.20391,                  0.375,                  0.181,                0.07671,                 1.7138,                 3.5859,                 1.4733,              0.0006603,              0.0006603,              0.0006603
                     63,                0.79977,                0.50108,                0.95556,                0.28135,                0.39375,                0.24465,                0.12209,                 1.7452,                 3.0636,                 1.5036,              0.0006438,              0.0006438,              0.0006438
                     64,                0.87964,                0.57704,                 1.0818,                0.39283,                0.52499,                0.41957,                0.19626,                 1.7402,                 2.4712,                 1.5292,             0.00062729,             0.00062729,             0.00062729
                     65,                0.65622,                 0.7933,                 1.0461,                0.49554,                0.63125,                0.51995,                  0.248,                 1.6786,                 2.0143,                 1.4751,             0.00061079,             0.00061079,             0.00061079
                     66,                0.72162,                0.47552,                0.96666,                0.43302,                0.59912,                0.48684,                0.24764,                 1.7012,                 1.9529,                 1.4687,             0.00059429,             0.00059429,             0.00059429
                     67,                0.77175,                0.62106,                0.98201,                0.35923,                0.40625,                0.35024,                0.17589,                 1.7207,                  2.415,                 1.4729,             0.00057778,             0.00057778,             0.00057778
                     68,                 0.5462,                0.44713,                0.92812,                0.22426,                0.40522,                0.23303,                0.11646,                 1.7415,                 2.9718,                 1.5059,             0.00056128,             0.00056128,             0.00056128
                     69,                  0.818,                0.58314,                 1.0904,                0.20605,                0.31775,                 0.1794,                0.08672,                 1.6833,                 3.6044,                 1.4475,             0.00054478,             0.00054478,             0.00054478
                     70,                 0.6599,                 0.4626,                0.97316,                0.10795,                    0.8,                0.14496,                0.07531,                 1.6768,                 4.0691,                 1.4463,             0.00052827,             0.00052827,             0.00052827
                     71,                0.65886,                0.43705,                0.92561,                0.09417,                0.75625,                0.12154,                0.06335,                 1.6962,                 4.3362,                 1.4341,             0.00051177,             0.00051177,             0.00051177
                     72,                0.78015,                0.65047,                 1.1749,                0.09255,                 0.7875,                0.12139,                0.05693,                 1.7394,                 4.4149,                 1.4332,             0.00049527,             0.00049527,             0.00049527
                     73,                0.63865,                0.41619,                0.92323,                 0.0945,                0.73125,                0.11174,                0.05434,                 1.6998,                 4.4284,                 1.4055,             0.00047876,             0.00047876,             0.00047876
                     74,                0.71349,                0.42938,                0.95233,                0.10423,                0.73125,                0.12668,                 0.0669,                  1.597,                  4.351,                 1.3462,             0.00046226,             0.00046226,             0.00046226
                     75,                0.65501,                0.57564,                 1.0181,                0.18927,                0.41875,                0.14931,                0.08234,                 1.5657,                  4.132,                 1.3547,             0.00044576,             0.00044576,             0.00044576
                     76,                0.53503,                0.36395,                0.88876,                0.21622,                 0.3625,                0.16764,                0.09022,                 1.5821,                 3.9572,                 1.3721,             0.00042925,             0.00042925,             0.00042925
                     77,                0.58742,                0.40656,                0.94499,                0.24943,                 0.3625,                 0.1784,                0.09624,                 1.5795,                 3.7967,                 1.3819,             0.00041275,             0.00041275,             0.00041275
